alpha3Code,gender,population,age
CAF,Female,74013,1
TCD,Female,289574,1
CHL,Female,115673,1
CHN,Female,7513029,1
COL,Female,351186,1
COM,Female,12176,1
COG,Female,84823,1
COD,Female,1576083,1
CRI,Female,33320,1
HRV,Female,18037,1
CUB,Female,58156,1
CYP,Female,6236,1
CZE,Female,52296,1
DNK,Female,30204,1
DJI,Female,10106,1
DOM,Female,101658,1
ECU,Female,158214,1
EGY,Female,1160675,1
SLV,Female,56476,1
GNQ,Female,19917,1
ERI,Female,75516,1
EST,Female,6781,1
ETH,Female,1556190,1
FJI,Female,8157,1
FIN,Female,29919,1
FRA,Female,370081,1
GUF,Female,3264,1
PYF,Female,2078,1
GAB,Female,27702,1
GMB,Female,38653,1
GEO,Female,23685,1
DEU,Female,357737,1
GHA,Female,410485,1
GRC,Female,42478,1
GRD,Female,939,1
GLP,Female,2305,1
GUM,Female,1321,1
GTM,Female,202408,1
GIN,Female,212269,1
GNB,Female,30618,1
GUY,Female,7362,1
HTI,Female,121722,1
HND,Female,95500,1
HKG,Female,35436,1
HUN,Female,42515,1
ISL,Female,2149,1
IND,Female,11576301,1
IDN,Female,2321695,1
CIV,Female,417384,1
IRN,Female,607128,1
IRQ,Female,594322,1
IRL,Female,31102,1
ISR,Female,79482,1
ITA,Female,235229,1
JAM,Female,22885,1
JPN,Female,499831,1
JOR,Female,119853,1
KAZ,Female,173296,1
KEN,Female,737525,1
KIR,Female,1512,1
KWT,Female,32014,1
KGZ,Female,68146,1
LAO,Female,75033,1
LVA,Female,9142,1
LBN,Female,44621,1
LSO,Female,28835,1
LBR,Female,75191,1
LBY,Female,57133,1
LTU,Female,14570,1
LUX,Female,3413,1
MAC,Female,3881,1
MKD,Female,11286,1
MDG,Female,407441,1
MWI,Female,320065,1
MYS,Female,263138,1
MDV,Female,3632,1
MLI,Female,357146,1
MLT,Female,2094,1
MTQ,Female,2116,1
MRT,Female,68652,1
MUS,Female,6529,1
MYT,Female,3553,1
MEX,Female,1101205,1
FSM,Female,1182,1
MDA,Female,19083,1
MNG,Female,32833,1
MNE,Female,3388,1
MAR,Female,325296,1
