alpha3Code,gender,population,age
CZE,Female,43561,19
DNK,Female,34691,19
DJI,Female,9695,19
DOM,Female,96401,19
ECU,Female,147095,19
EGY,Female,807816,19
SLV,Female,62913,19
GNQ,Female,11376,19
ERI,Female,50727,19
EST,Female,5534,19
ETH,Female,1218894,19
FJI,Female,7269,19
FIN,Female,29181,19
FRA,Female,380089,19
GUF,Female,2591,19
PYF,Female,2290,19
GAB,Female,18367,19
GMB,Female,22953,19
GEO,Female,20161,19
DEU,Female,398000,19
GHA,Female,287497,19
GRC,Female,54602,19
GRD,Female,870,19
GLP,Female,3257,19
GUM,Female,1339,19
GTM,Female,184746,19
GIN,Female,133615,19
GNB,Female,19095,19
GUY,Female,7674,19
HTI,Female,110472,19
HND,Female,97673,19
HKG,Female,31394,19
HUN,Female,47916,19
ISL,Female,2109,19
IND,Female,11746084,19
IDN,Female,2211647,19
CIV,Female,262261,19
IRN,Female,491333,19
IRQ,Female,385115,19
IRL,Female,28042,19
ISR,Female,62985,19
ITA,Female,274181,19
JAM,Female,24664,19
JPN,Female,574025,19
JOR,Female,94658,19
KAZ,Female,103052,19
KEN,Female,541170,19
KIR,Female,1086,19
KWT,Female,22749,19
KGZ,Female,46188,19
LAO,Female,68799,19
LVA,Female,7506,19
LBN,Female,54343,19
LSO,Female,24460,19
LBR,Female,49683,19
LBY,Female,52500,19
LTU,Female,14581,19
LUX,Female,3544,19
MAC,Female,2753,19
MKD,Female,12158,19
MDG,Female,283142,19
MWI,Female,207613,19
MYS,Female,272704,19
MDV,Female,2769,19
MLI,Female,194043,19
MLT,Female,2201,19
MTQ,Female,2390,19
MRT,Female,44460,19
MUS,Female,9288,19
MYT,Female,2652,19
MEX,Female,1154672,19
FSM,Female,1197,19
MDA,Female,21017,19
MNG,Female,21211,19
MNE,Female,3900,19
MAR,Female,283642,19
MOZ,Female,323384,19
MMR,Female,498284,19
NAM,Female,26826,19
NPL,Female,317052,19
NLD,Female,99056,19
NCL,Female,2079,19
NZL,Female,30491,19
NIC,Female,56644,19
NER,Female,224653,19
NGA,Female,1930851,19
PRK,Female,188089,19
NOR,Female,32582,19
OMN,Female,25262,19
PAK,Female,1844165,19
PSE,Female,52393,19
PAN,Female,34471,19
PNG,Female,83124,19
PRY,Female,65599,19
PER,Female,269008,19
PHL,Female,988028,19
POL,Female,182159,19
PRT,Female,53569,19
PRI,Female,25082,19
QAT,Female,8615,19
REU,Female,6638,19
ROU,Female,102335,19
RUS,Female,615025,19
RWA,Female,127851,19
LCA,Female,1486,19
VCT,Female,905,19
WSM,Female,1890,19
STP,Female,2177,19
SAU,Female,217949,19
SEN,Female,162598,19
SRB,Female,51124,19
SYC,Female,552,19
SLE,Female,82897,19
SGP,Female,34651,19
SVK,Female,26447,19
SVN,Female,8944,19
SLB,Female,6277,19
SOM,Female,159832,19
ZAF,Female,510932,19
KOR,Female,279666,19
SSD,Female,135522,19
ESP,Female,210269,19
LKA,Female,157674,19
SDN,Female,436682,19
SUR,Female,4711,19
SWZ,Female,14811,19
SWE,Female,49699,19
CHE,Female,43877,19
SYR,Female,207409,19
TJK,Female,81810,19
TZA,Female,602822,19
THA,Female,456599,19
TLS,Female,15124,19
TGO,Female,80026,19
TON,Female,1098,19
TTO,Female,8324,19
TUN,Female,77493,19
TUR,Female,667861,19
TKM,Female,45338,19
UGA,Female,476898,19
UKR,Female,190786,19
ARE,Female,37612,19
GBR,Female,365364,19
USA,Female,2106054,19
URY,Female,24824,19
UZB,Female,258101,19
VUT,Female,2577,19
VEN,Female,275040,19
VNM,Female,639526,19
ESH,Female,4767,19
YEM,Female,300455,19
ZMB,Female,192271,19
ZWE,Female,172493,19
AFG,Female,523651,2
ALB,Female,16474,2
DZA,Female,447322,2
AGO,Female,563133,2
ATG,Female,803,2
ARG,Female,364969,2
ARM,Female,18059,2
ABW,Female,545,2
AUS,Female,159691,2
AUT,Female,41296,2
AZE,Female,79331,2
BHS,Female,2738,2
BHR,Female,10717,2
BGD,Female,1458526,2
BRB,Female,1689,2
BLR,Female,55254,2
BEL,Female,64260,2
BLZ,Female,4099,2
BEN,Female,184425,2
BTN,Female,6913,2
BOL,Female,117841,2
BIH,Female,15591,2
BWA,Female,25647,2
BRA,Female,1412952,2
VIR,Female,633,2
BRN,Female,3266,2
BGR,Female,31385,2
BFA,Female,334513,2
BDI,Female,204284,2
KHM,Female,175629,2
CMR,Female,392410,2
CAN,Female,193165,2
CPV,Female,5436,2
CAF,Female,72990,2
TCD,Female,280417,2
CHL,Female,115692,2
CHN,Female,7717185,2
COL,Female,352929,2
COM,Female,12039,2
COG,Female,84331,2
COD,Female,1532710,2
CRI,Female,33509,2
HRV,Female,18451,2
CUB,Female,59891,2
CYP,Female,6386,2
CZE,Female,52363,2
DNK,Female,29194,2
DJI,Female,10056,2
DOM,Female,102306,2
ECU,Female,158345,2
EGY,Female,1211312,2
SLV,Female,56180,2
GNQ,Female,19353,2
ERI,Female,74685,2
EST,Female,6703,2
ETH,Female,1536089,2
FJI,Female,8243,2
FIN,Female,29723,2
FRA,Female,371405,2
GUF,Female,3248,2
PYF,Female,2112,2
GAB,Female,27768,2
GMB,Female,37692,2
GEO,Female,24965,2
DEU,Female,357122,2
GHA,Female,409369,2
GRC,Female,43426,2
GRD,Female,950,2
GLP,Female,2375,2
GUM,Female,1312,2
GTM,Female,200340,2
GIN,Female,207203,2
GNB,Female,30070,2
GUY,Female,7341,2
HTI,Female,120853,2
HND,Female,93950,2
HKG,Female,33578,2
HUN,Female,42265,2
ISL,Female,2172,2
IND,Female,11414723,2
IDN,Female,2359624,2
CIV,Female,406870,2
IRN,Female,636054,2
IRQ,Female,587642,2
IRL,Female,32052,2
ISR,Female,81263,2
ITA,Female,235788,2
JAM,Female,21551,2
JPN,Female,506712,2
JOR,Female,120912,2
KAZ,Female,185498,2
KEN,Female,723381,2
KIR,Female,1498,2
KWT,Female,32051,2
KGZ,Female,71873,2
LAO,Female,74956,2
LVA,Female,9130,2
LBN,Female,45292,2
LSO,Female,28819,2
LBR,Female,73446,2
LBY,Female,58932,2
LTU,Female,14838,2
LUX,Female,3349,2
MAC,Female,3832,2
MKD,Female,11358,2
MDG,Female,396315,2
MWI,Female,309280,2
MYS,Female,259987,2
MDV,Female,3747,2
MLI,Female,347056,2
MLT,Female,2115,2
MTQ,Female,1931,2
MRT,Female,67518,2
MUS,Female,6427,2
MYT,Female,3525,2
MEX,Female,1112537,2
FSM,Female,1149,2
MDA,Female,20002,2
MNG,Female,34952,2
MNE,Female,3423,2
MAR,Female,332927,2
MOZ,Female,518848,2
MMR,Female,443014,2
NAM,Female,34926,2
NPL,Female,266855,2
NLD,Female,87355,2
NCL,Female,2128,2
NZL,Female,30301,2
NIC,Female,57240,2
NER,Female,455669,2
NGA,Female,3251521,2
PRK,Female,168399,2
NOR,Female,31297,2
OMN,Female,39645,2
PAK,Female,2445079,2
PSE,Female,73527,2
PAN,Female,38018,2
PNG,Female,102726,2
PRY,Female,67124,2
PER,Female,293093,2
PHL,Female,1142548,2
POL,Female,171125,2
PRT,Female,38441,2
PRI,Female,18698,2
QAT,Female,13219,2
REU,Female,6469,2
ROU,Female,90236,2
RUS,Female,896873,2
RWA,Female,176550,2
LCA,Female,1044,2
VCT,Female,797,2
WSM,Female,2184,2
STP,Female,3167,2
SAU,Female,300049,2
SEN,Female,261536,2
SRB,Female,44766,2
SYC,Female,731,2
SLE,Female,116748,2
SGP,Female,25638,2
SVK,Female,27588,2
SVN,Female,10333,2
SLB,Female,8090,2
SOM,Female,280662,2
ZAF,Female,562701,2
KOR,Female,218754,2
SSD,Female,201218,2
ESP,Female,193672,2
LKA,Female,151027,2
SDN,Female,607695,2
SUR,Female,4802,2
SWZ,Female,18327,2
SWE,Female,59610,2
CHE,Female,44302,2
SYR,Female,178401,2
TJK,Female,118232,2
TZA,Female,1014065,2
THA,Female,340873,2
TLS,Female,20913,2
TGO,Female,121598,2
TON,Female,1203,2
TTO,Female,8790,2
TUN,Female,100479,2
TUR,Female,637732,2
TKM,Female,67548,2
UGA,Female,816132,2
UKR,Female,225787,2
ARE,Female,44269,2
GBR,Female,398285,2
USA,Female,1992272,2
URY,Female,23229,2
UZB,Female,309208,2
VUT,Female,3484,2
VEN,Female,289586,2
VNM,Female,736063,2
ESH,Female,5617,2
YEM,Female,407795,2
ZMB,Female,298905,2
ZWE,Female,253754,2
AFG,Female,387617,20
ALB,Female,24378,20
DZA,Female,283522,20
AGO,Female,303712,20
ATG,Female,851,20
ARG,Female,338224,20
ARM,Female,15514,20
ABW,Female,748,20
AUS,Female,151082,20
AUT,Female,43812,20
AZE,Female,64263,20
BHS,Female,2979,20
BHR,Female,7607,20
BGD,Female,1558114,20
BRB,Female,1753,20
BLR,Female,42684,20
BEL,Female,62294,20
BLZ,Female,3980,20
BEN,Female,114078,20
BTN,Female,7384,20
BOL,Female,106611,20
BIH,Female,22158,20
BWA,Female,21402,20
BRA,Female,1705281,20
VIR,Female,630,20
BRN,Female,3453,20
BGR,Female,27814,20
BFA,Female,196579,20
BDI,Female,106262,20
KHM,Female,149184,20
CMR,Female,241395,20
CAN,Female,210256,20
CPV,Female,5622,20
CAF,Female,51426,20
TCD,Female,158761,20
CHL,Female,129331,20
CHN,Female,7261408,20
COL,Female,394138,20
COM,Female,8041,20
COG,Female,50224,20
COD,Female,801485,20
CRI,Female,38493,20
HRV,Female,22882,20
CUB,Female,65752,20
CYP,Female,8279,20
CZE,Female,42607,20
DNK,Female,35288,20
DJI,Female,9660,20
DOM,Female,94788,20
ECU,Female,147349,20
EGY,Female,790432,20
SLV,Female,64587,20
GNQ,Female,11306,20
ERI,Female,48034,20
EST,Female,5362,20
ETH,Female,1194829,20
FJI,Female,7162,20
FIN,Female,29387,20
FRA,Female,378615,20
GUF,Female,2535,20
PYF,Female,2290,20
GAB,Female,18149,20
GMB,Female,22244,20
GEO,Female,20632,20
DEU,Female,409644,20
GHA,Female,283452,20
GRC,Female,55211,20
GRD,Female,889,20
GLP,Female,3291,20
GUM,Female,1326,20
GTM,Female,181345,20
GIN,Female,129479,20
GNB,Female,18674,20
GUY,Female,7656,20
HTI,Female,109793,20
HND,Female,96713,20
HKG,Female,33974,20
HUN,Female,48075,20
ISL,Female,2108,20
IND,Female,11671055,20
IDN,Female,2179425,20
CIV,Female,256117,20
IRN,Female,490215,20
IRQ,Female,379121,20
IRL,Female,27326,20
ISR,Female,62408,20
ITA,Female,273956,20
JAM,Female,25375,20
JPN,Female,583203,20
JOR,Female,93380,20
KAZ,Female,103276,20
KEN,Female,528028,20
KIR,Female,1145,20
KWT,Female,23571,20
KGZ,Female,47406,20
LAO,Female,68700,20
LVA,Female,7103,20
LBN,Female,55429,20
LSO,Female,24677,20
LBR,Female,47917,20
LBY,Female,52175,20
LTU,Female,15204,20
LUX,Female,3642,20
MAC,Female,3099,20
MKD,Female,12253,20
MDG,Female,277213,20
MWI,Female,201990,20
MYS,Female,278662,20
MDV,Female,2848,20
MLI,Female,184861,20
MLT,Female,2272,20
MTQ,Female,2368,20
MRT,Female,43413,20
MUS,Female,9133,20
MYT,Female,2575,20
MEX,Female,1161826,20
FSM,Female,1201,20
MDA,Female,22050,20
MNG,Female,21618,20
MNE,Female,3961,20
MAR,Female,280728,20
MOZ,Female,311629,20
MMR,Female,487682,20
NAM,Female,26754,20
NPL,Female,314611,20
NLD,Female,98463,20
NCL,Female,2100,20
NZL,Female,30975,20
NIC,Female,56714,20
NER,Female,214365,20
NGA,Female,1855786,20
PRK,Female,188331,20
NOR,Female,33210,20
OMN,Female,25295,20
PAK,Female,1855722,20
PSE,Female,52166,20
PAN,Female,34415,20
PNG,Female,81706,20
PRY,Female,66469,20
PER,Female,267063,20
PHL,Female,984396,20
POL,Female,187866,20
PRT,Female,54239,20
PRI,Female,25460,20
QAT,Female,8406,20
REU,Female,6466,20
ROU,Female,103617,20
RUS,Female,596210,20
RWA,Female,124509,20
LCA,Female,1531,20
VCT,Female,914,20
WSM,Female,1827,20
STP,Female,2066,20
SAU,Female,217538,20
SEN,Female,158198,20
SRB,Female,51041,20
SYC,Female,550,20
SLE,Female,80411,20
SGP,Female,35352,20
SVK,Female,26978,20
SVN,Female,9091,20
SLB,Female,6100,20
SOM,Female,155505,20
ZAF,Female,510511,20
KOR,Female,294645,20
SSD,Female,132675,20
ESP,Female,205727,20
LKA,Female,153680,20
SDN,Female,424148,20
SUR,Female,4704,20
SWZ,Female,14773,20
SWE,Female,48512,20
CHE,Female,45058,20
SYR,Female,200591,20
TJK,Female,83362,20
TZA,Female,573889,20
THA,Female,467057,20
TLS,Female,15268,20
TGO,Female,76852,20
TON,Female,1058,20
TTO,Female,8178,20
TUN,Female,78380,20
TUR,Female,669317,20
TKM,Female,44290,20
UGA,Female,457917,20
UKR,Female,196370,20
ARE,Female,38777,20
GBR,Female,374469,20
USA,Female,2120246,20
URY,Female,24974,20
UZB,Female,264946,20
VUT,Female,2608,20
VEN,Female,273256,20
VNM,Female,640735,20
ESH,Female,4770,20
YEM,Female,294382,20
ZMB,Female,185529,20
ZWE,Female,169452,20
AFG,Female,372082,21
ALB,Female,25115,21
DZA,Female,291151,21
AGO,Female,291434,21
ATG,Female,853,21
ARG,Female,335709,21
ARM,Female,16100,21
ABW,Female,754,21
AUS,Female,153665,21
AUT,Female,45024,21
AZE,Female,67062,21
BHS,Female,3123,21
BHR,Female,7894,21
BGD,Female,1546486,21
BRB,Female,1744,21
BLR,Female,43889,21
BEL,Female,63003,21
BLZ,Female,3956,21
BEN,Female,110805,21
BTN,Female,7474,21
BOL,Female,105301,21
BIH,Female,23249,21
BWA,Female,21449,21
BRA,Female,1720997,21
VIR,Female,628,21
BRN,Female,3471,21
BGR,Female,28079,21
BFA,Female,189574,21
BDI,Female,104279,21
KHM,Female,151089,21
CMR,Female,233865,21
CAN,Female,217635,21
CPV,Female,5638,21
CAF,Female,49286,21
TCD,Female,152890,21
CHL,Female,130972,21
CHN,Female,7402363,21
COL,Female,394149,21
COM,Female,7860,21
COG,Female,48330,21
COD,Female,770506,21
CRI,Female,39257,21
HRV,Female,23582,21
CUB,Female,67003,21
CYP,Female,8619,21
CZE,Female,43170,21
DNK,Female,36007,21
DJI,Female,9612,21
DOM,Female,93575,21
ECU,Female,147227,21
EGY,Female,778967,21
SLV,Female,65612,21
GNQ,Female,11245,21
ERI,Female,45889,21
EST,Female,5359,21
ETH,Female,1164906,21
FJI,Female,7099,21
FIN,Female,29930,21
FRA,Female,376726,21
GUF,Female,2476,21
PYF,Female,2286,21
GAB,Female,17961,21
GMB,Female,21530,21
GEO,Female,21354,21
DEU,Female,420699,21
GHA,Female,278670,21
GRC,Female,55610,21
GRD,Female,906,21
GLP,Female,3292,21
GUM,Female,1316,21
GTM,Female,178002,21
GIN,Female,125473,21
GNB,Female,18300,21
GUY,Female,7631,21
HTI,Female,108848,21
HND,Female,95674,21
HKG,Female,36828,21
HUN,Female,49175,21
ISL,Female,2136,21
IND,Female,11588946,21
IDN,Female,2154880,21
CIV,Female,249125,21
IRN,Female,500939,21
IRQ,Female,371834,21
IRL,Female,26672,21
ISR,Female,61627,21
ITA,Female,274660,21
JAM,Female,25848,21
JPN,Female,589711,21
JOR,Female,91949,21
KAZ,Female,106529,21
KEN,Female,513023,21
KIR,Female,1175,21
KWT,Female,24305,21
KGZ,Female,48651,21
LAO,Female,68650,21
LVA,Female,7108,21
LBN,Female,56495,21
LSO,Female,24698,21
LBR,Female,46118,21
LBY,Female,52019,21
LTU,Female,15937,21
LUX,Female,3720,21
MAC,Female,3448,21
MKD,Female,12486,21
MDG,Female,270162,21
MWI,Female,196410,21
MYS,Female,284372,21
MDV,Female,2968,21
MLI,Female,176409,21
MLT,Female,2357,21
MTQ,Female,2303,21
MRT,Female,42381,21
MUS,Female,9123,21
MYT,Female,2483,21
MEX,Female,1163400,21
FSM,Female,1196,21
MDA,Female,23334,21
MNG,Female,22185,21
MNE,Female,4015,21
MAR,Female,280218,21
MOZ,Female,300103,21
MMR,Female,478205,21
NAM,Female,26658,21
NPL,Female,310968,21
NLD,Female,98527,21
NCL,Female,2129,21
NZL,Female,31490,21
NIC,Female,56774,21
NER,Female,204307,21
NGA,Female,1785060,21
PRK,Female,189127,21
NOR,Female,33786,21
OMN,Female,25873,21
PAK,Female,1859518,21
PSE,Female,51809,21
PAN,Female,34243,21
PNG,Female,79968,21
PRY,Female,66852,21
PER,Female,266302,21
PHL,Female,980285,21
POL,Female,195024,21
PRT,Female,54651,21
PRI,Female,25830,21
QAT,Female,8605,21
REU,Female,6295,21
ROU,Female,104466,21
RUS,Female,598681,21
RWA,Female,120712,21
LCA,Female,1569,21
VCT,Female,919,21
WSM,Female,1762,21
STP,Female,1964,21
SAU,Female,220706,21
SEN,Female,154079,21
SRB,Female,51203,21
SYC,Female,551,21
SLE,Female,77872,21
SGP,Female,36074,21
SVK,Female,27876,21
SVN,Female,9267,21
SLB,Female,5910,21
SOM,Female,150594,21
ZAF,Female,510311,21
KOR,Female,307918,21
SSD,Female,129520,21
ESP,Female,203698,21
LKA,Female,150739,21
SDN,Female,411218,21
SUR,Female,4699,21
SWZ,Female,14758,21
SWE,Female,49364,21
CHE,Female,46391,21
SYR,Female,190932,21
TJK,Female,84363,21
TZA,Female,549547,21
THA,Female,475158,21
TLS,Female,15022,21
TGO,Female,74024,21
TON,Female,1023,21
TTO,Female,8135,21
TUN,Female,79749,21
TUR,Female,667587,21
TKM,Female,44350,21
UGA,Female,439959,21
UKR,Female,203796,21
ARE,Female,39966,21
GBR,Female,383479,21
USA,Female,2143400,21
URY,Female,25128,21
UZB,Female,272904,21
VUT,Female,2612,21
VEN,Female,271877,21
VNM,Female,657019,21
ESH,Female,4806,21
YEM,Female,290131,21
ZMB,Female,178817,21
ZWE,Female,166758,21
AFG,Female,355799,22
ALB,Female,24516,22
DZA,Female,302407,22
AGO,Female,280746,22
ATG,Female,856,22
ARG,Female,336021,22
ARM,Female,17482,22
ABW,Female,757,22
AUS,Female,156851,22
AUT,Female,47047,22
AZE,Female,71032,22
BHS,Female,3231,22
BHR,Female,8756,22
BGD,Female,1535374,22
BRB,Female,1754,22
BLR,Female,46292,22
BEL,Female,64381,22
BLZ,Female,3916,22
BEN,Female,107487,22
BTN,Female,7556,22
BOL,Female,103642,22
BIH,Female,23519,22
BWA,Female,21461,22
BRA,Female,1721369,22
VIR,Female,631,22
BRN,Female,3468,22
BGR,Female,29439,22
BFA,Female,182796,22
BDI,Female,103168,22
KHM,Female,153457,22
CMR,Female,227848,22
CAN,Female,226395,22
CPV,Female,5651,22
CAF,Female,46984,22
TCD,Female,147085,22
CHL,Female,132763,22
CHN,Female,7696456,22
COL,Female,397353,22
COM,Female,7689,22
COG,Female,46440,22
COD,Female,742594,22
CRI,Female,39716,22
HRV,Female,23582,22
CUB,Female,67640,22
CYP,Female,8861,22
CZE,Female,45937,22
DNK,Female,36897,22
DJI,Female,9547,22
DOM,Female,93029,22
ECU,Female,146470,22
EGY,Female,776126,22
SLV,Female,65624,22
GNQ,Female,11172,22
ERI,Female,44579,22
EST,Female,5597,22
ETH,Female,1127099,22
FJI,Female,7099,22
FIN,Female,30953,22
FRA,Female,374188,22
GUF,Female,2414,22
PYF,Female,2276,22
GAB,Female,17793,22
GMB,Female,20802,22
GEO,Female,22379,22
DEU,Female,430409,22
GHA,Female,272526,22
GRC,Female,55617,22
GRD,Female,915,22
GLP,Female,3248,22
GUM,Female,1313,22
GTM,Female,175017,22
GIN,Female,121640,22
GNB,Female,17979,22
GUY,Female,7611,22
HTI,Female,107495,22
HND,Female,94623,22
HKG,Female,39913,22
HUN,Female,51689,22
ISL,Female,2206,22
IND,Female,11500562,22
IDN,Female,2143353,22
CIV,Female,240809,22
IRN,Female,527452,22
IRQ,Female,362202,22
IRL,Female,26083,22
ISR,Female,60480,22
ITA,Female,276750,22
JAM,Female,25944,22
JPN,Female,591724,22
JOR,Female,90240,22
KAZ,Female,113673,22
KEN,Female,495040,22
KIR,Female,1153,22
KWT,Female,24772,22
KGZ,Female,49701,22
LAO,Female,68645,22
LVA,Female,7721,22
LBN,Female,57577,22
LSO,Female,24411,22
LBR,Female,44283,22
LBY,Female,52073,22
LTU,Female,16800,22
LUX,Female,3765,22
MAC,Female,3774,22
MKD,Female,12932,22
MDG,Female,261438,22
MWI,Female,190756,22
MYS,Female,289608,22
MDV,Female,3140,22
MLI,Female,168958,22
MLT,Female,2462,22
MTQ,Female,2174,22
MRT,Female,41355,22
MUS,Female,9359,22
MYT,Female,2366,22
MEX,Female,1156643,22
FSM,Female,1178,22
MDA,Female,24897,22
MNG,Female,22886,22
MNE,Female,4055,22
MAR,Female,283316,22
MOZ,Female,288919,22
MMR,Female,471476,22
NAM,Female,26517,22
NPL,Female,305885,22
NLD,Female,99709,22
NCL,Female,2171,22
NZL,Female,32007,22
NIC,Female,56793,22
NER,Female,194428,22
NGA,Female,1720428,22
PRK,Female,190972,22
NOR,Female,34248,22
OMN,Female,27199,22
PAK,Female,1848087,22
PSE,Female,51208,22
PAN,Female,33886,22
PNG,Female,77760,22
PRY,Female,66449,22
PER,Female,267336,22
PHL,Female,975198,22
POL,Female,203712,22
PRT,Female,54675,22
PRI,Female,26192,22
QAT,Female,9389,22
REU,Female,6139,22
ROU,Female,104514,22
RUS,Female,632030,22
RWA,Female,116118,22
LCA,Female,1596,22
VCT,Female,918,22
WSM,Female,1695,22
STP,Female,1876,22
SAU,Female,228843,22
SEN,Female,150225,22
SRB,Female,51776,22
SYC,Female,558,22
SLE,Female,75249,22
SGP,Female,36837,22
SVK,Female,29260,22
SVN,Female,9455,22
SLB,Female,5701,22
SOM,Female,144664,22
ZAF,Female,510249,22
KOR,Female,318178,22
SSD,Female,125859,22
ESP,Female,205426,22
LKA,Female,149533,22
SDN,Female,397867,22
SUR,Female,4699,22
SWZ,Female,14766,22
SWE,Female,53303,22
CHE,Female,47893,22
SYR,Female,177265,22
TJK,Female,84260,22
TZA,Female,532355,22
THA,Female,479607,22
TLS,Female,14156,22
TGO,Female,71719,22
TON,Female,994,22
TTO,Female,8240,22
TUN,Female,81684,22
TUR,Female,661034,22
TKM,Female,46092,22
UGA,Female,423479,22
UKR,Female,212956,22
ARE,Female,40999,22
GBR,Female,391366,22
USA,Female,2179669,22
URY,Female,25289,22
UZB,Female,281723,22
VUT,Female,2566,22
VEN,Female,271122,22
VNM,Female,695342,22
ESH,Female,4887,22
YEM,Female,288610,22
ZMB,Female,172219,22
ZWE,Female,164381,22
AFG,Female,339186,23
ALB,Female,23056,23
DZA,Female,315927,23
AGO,Female,271236,23
ATG,Female,860,23
ARG,Female,338057,23
ARM,Female,19368,23
ABW,Female,756,23
AUS,Female,160432,23
AUT,Female,49541,23
AZE,Female,75693,23
BHS,Female,3311,23
BHR,Female,9966,23
BGD,Female,1524488,23
BRB,Female,1777,23
BLR,Female,49522,23
BEL,Female,66172,23
BLZ,Female,3864,23
BEN,Female,104151,23
BTN,Female,7630,23
BOL,Female,101744,23
BIH,Female,23262,23
BWA,Female,21447,23
BRA,Female,1711995,23
VIR,Female,637,23
BRN,Female,3453,23
BGR,Female,31536,23
BFA,Female,176244,23
BDI,Female,102605,23
KHM,Female,155833,23
CMR,Female,222867,23
CAN,Female,235737,23
CPV,Female,5656,23
CAF,Female,44603,23
TCD,Female,141355,23
CHL,Female,134612,23
CHN,Female,8104010,23
COL,Female,402425,23
COM,Female,7526,23
COG,Female,44601,23
COD,Female,717015,23
CRI,Female,39966,23
HRV,Female,23163,23
CUB,Female,67935,23
CYP,Female,9029,23
CZE,Female,50107,23
DNK,Female,37829,23
DJI,Female,9472,23
DOM,Female,92877,23
ECU,Female,145275,23
EGY,Female,779321,23
SLV,Female,64904,23
GNQ,Female,11093,23
ERI,Female,43864,23
EST,Female,6002,23
ETH,Female,1083988,23
FJI,Female,7138,23
FIN,Female,32242,23
FRA,Female,371479,23
GUF,Female,2350,23
PYF,Female,2263,23
GAB,Female,17639,23
GMB,Female,20071,23
GEO,Female,23579,23
DEU,Female,439425,23
GHA,Female,265576,23
GRC,Female,55420,23
GRD,Female,920,23
GLP,Female,3169,23
GUM,Female,1314,23
GTM,Female,172162,23
GIN,Female,117938,23
GNB,Female,17692,23
GUY,Female,7572,23
HTI,Female,105872,23
HND,Female,93510,23
HKG,Female,43122,23
HUN,Female,55009,23
ISL,Female,2300,23
IND,Female,11407869,23
IDN,Female,2140227,23
CIV,Female,231672,23
IRN,Female,565480,23
IRQ,Female,351147,23
IRL,Female,25602,23
ISR,Female,59146,23
ITA,Female,279782,23
JAM,Female,25777,23
JPN,Female,591265,23
JOR,Female,88364,23
KAZ,Female,123331,23
KEN,Female,475637,23
KIR,Female,1099,23
KWT,Female,25145,23
KGZ,Female,50642,23
LAO,Female,68606,23
LVA,Female,8726,23
LBN,Female,58597,23
LSO,Female,23916,23
LBR,Female,42461,23
LBY,Female,52297,23
LTU,Female,17711,23
LUX,Female,3790,23
MAC,Female,4091,23
MKD,Female,13504,23
MDG,Female,251649,23
MWI,Female,185088,23
MYS,Female,294254,23
MDV,Female,3343,23
MLI,Female,162264,23
MLT,Female,2577,23
MTQ,Female,2013,23
MRT,Female,40339,23
MUS,Female,9733,23
MYT,Female,2235,23
MEX,Female,1144171,23
FSM,Female,1151,23
MDA,Female,26667,23
MNG,Female,23691,23
MNE,Female,4084,23
MAR,Female,288608,23
MOZ,Female,278057,23
MMR,Female,466462,23
NAM,Female,26323,23
NPL,Female,299786,23
NLD,Female,101562,23
NCL,Female,2218,23
NZL,Female,32503,23
NIC,Female,56778,23
NER,Female,184829,23
NGA,Female,1660783,23
PRK,Female,193298,23
NOR,Female,34631,23
OMN,Female,29010,23
PAK,Female,1826535,23
PSE,Female,50401,23
PAN,Female,33415,23
PNG,Female,75271,23
PRY,Female,65520,23
PER,Female,269438,23
PHL,Female,968726,23
POL,Female,213412,23
PRT,Female,54473,23
PRI,Female,26526,23
QAT,Female,10562,23
REU,Female,5995,23
ROU,Female,104274,23
RUS,Female,687283,23
RWA,Female,111232,23
LCA,Female,1613,23
VCT,Female,912,23
WSM,Female,1625,23
STP,Female,1798,23
SAU,Female,240028,23
SEN,Female,146584,23
SRB,Female,52619,23
SYC,Female,569,23
SLE,Female,72600,23
SGP,Female,37582,23
SVK,Female,30953,23
SVN,Female,9667,23
SLB,Female,5482,23
SOM,Female,138144,23
ZAF,Female,510240,23
KOR,Female,325885,23
SSD,Female,121868,23
ESP,Female,209740,23
LKA,Female,149478,23
SDN,Female,384245,23
SUR,Female,4697,23
SWZ,Female,14779,23
SWE,Female,59068,23
CHE,Female,49491,23
SYR,Female,161390,23
TJK,Female,83461,23
TZA,Female,519910,23
THA,Female,481247,23
TLS,Female,12904,23
TGO,Female,69794,23
TON,Female,969,23
TTO,Female,8456,23
TUN,Female,84017,23
TUR,Female,651625,23
TKM,Female,48845,23
UGA,Female,408064,23
UKR,Female,223689,23
ARE,Female,42049,23
GBR,Female,398575,23
USA,Female,2222617,23
URY,Female,25435,23
UZB,Female,290791,23
VUT,Female,2491,23
VEN,Female,270761,23
VNM,Female,746570,23
ESH,Female,4994,23
YEM,Female,288567,23
ZMB,Female,165758,23
ZWE,Female,162235,23
AFG,Female,322792,24
ALB,Female,21704,24
DZA,Female,330106,24
AGO,Female,262049,24
ATG,Female,862,24
ARG,Female,339725,24
ARM,Female,21200,24
ABW,Female,756,24
AUS,Female,164087,24
AUT,Female,51956,24
AZE,Female,80235,24
BHS,Female,3395,24
BHR,Female,11118,24
BGD,Female,1511968,24
BRB,Female,1799,24
BLR,Female,52765,24
BEL,Female,67958,24
BLZ,Female,3806,24
BEN,Female,100887,24
BTN,Female,7694,24
BOL,Female,99811,24
BIH,Female,23085,24
